,Product Description,Symbol Root,Intraday Initial,Intraday Maintenance,Long Overnight Margin,Short Overnight Margin,Long Maintenance Margin,Short Maintenance Margin,Intraday Rate
12,E-Micro Silver,SIL,1320.0,1200.0,2640.0,2640.0,2400.0,2400.0,50%
2,Micro E-mini Nasdaq-100 futures,MNQ,630.0,572.75,2520.0,2398.0,2291.0,2180.0,25%
13,CME Micro Bitcoin Futures,MBT,561.75,510.75,2247.0,2247.0,2043.0,2043.0,25%
1,Micro E-mini S&P 500 futures,MES,422.75,384.25,1691.0,1585.0,1537.0,1441.0,25%
25,Micro-DAX,FDXS,1630.0,1630.0,1630.0,1630.0,1630.0,1630.0,NONE
9,E-Micro Gold,MGC,687.5,625.0,1375.0,1375.0,1250.0,1250.0,50%
4,Micro E-mini Dow futures,MYM,297.0,270.0,1188.0,1188.0,1080.0,1080.0,25%
3,Micro E-Mini S&P Small Cap 600,MSC,1139.0,1035.0,1139.0,1137.0,1035.0,1034.0,NONE
0,Micro E-mini Russell 2000 futures,M2K,223.0,202.75,892.0,831.0,811.0,755.0,25%
6,Micro Heating Oil,MHO,772.0,702.0,772.0,767.0,702.0,697.0,NONE
10,Micro Copper (COMEX),MHG,770.0,700.0,770.0,770.0,700.0,700.0,NONE
11,Micro Platinum,PLM,750.0,500.0,750.0,750.0,500.0,500.0,NONE
8,Micro RBOB Gasoline,MRB,711.0,646.0,711.0,594.0,646.0,540.0,NONE
5,Micro Crude Oil,MCL,649.0,590.0,649.0,582.0,590.0,529.0,NONE
16,Micro Ultra U.S. Treasury Bond,MWN,567.0,515.0,567.0,567.0,515.0,515.0,NONE
7,Micro Henry Hub Natural Gas,MNG,387.0,352.0,387.0,376.0,352.0,342.0,NONE
26,Micro-EURO STOXX 50 Index Futures,FSXE,370.0,370.0,370.0,370.0,370.0,370.0,NONE
19,E-micro EUR/USD,M6E,286.0,260.0,286.0,286.0,260.0,260.0,NONE
15,Micro Ultra 10-Year U.S. Treasury Note,MTN,281.0,255.0,281.0,281.0,255.0,255.0,NONE
22,Micro Soybean Meal,MZM,231.0,210.0,231.0,231.0,210.0,210.0,NONE
18,E-micro GBP/USD,M6B,220.0,200.0,220.0,220.0,200.0,200.0,NONE
23,Micro Soybean,MZS,209.0,190.0,209.0,209.0,190.0,190.0,NONE
21,Micro Soybean Oil,MZL,187.0,170.0,187.0,187.0,170.0,170.0,NONE
24,Micro Wheat,MZW,182.0,165.0,182.0,182.0,165.0,165.0,NONE
17,E-micro AUD/USD,M6A,149.0,135.0,149.0,149.0,135.0,135.0,NONE
20,Micro Corn,MZC,110.0,100.0,110.0,110.0,100.0,100.0,NONE
14,CME Micro Ether Futures,MET,69.0,63.0,69.0,69.0,63.0,63.0,NONE
